ID	Project	Name	SushiApp	Samples	Who	Created	BFabricID	Order IDs
548	35611	HiSeq_short_dataset_20200609		6/6	masaomi	2026-02-05		
578	2220	Dataset		4/4	sushi_lover	2026-03-12		
604	2220	NfCoreRnaseq	NfCoreRnaseqApp	1/1	sushi_lover	2026-03-17		
606	2220	NfCoreRnaseq	NfCoreRnaseqApp	0/1	sushi_lover	2026-03-17		
607	2220	NfCoreRnaseq	NfCoreRnaseqApp	1/1	sushi_lover	2026-03-17		
618	35611	Fastqc	FastqcApp	0/1	masaomi	2026-04-20		
619	1535	litmus_dataset		0/1	sushi_lover	2026-04-23		
620	1535	litmus_dataset		0/1	sushi_lover	2026-04-23		
621	1535	litmus_dataset		0/1	sushi_lover	2026-04-23		
622	1535	litmus_dataset		0/1	sushi_lover	2026-04-23		
623	1535	litmus_dataset		0/1	sushi_lover	2026-04-23		
624	1535	litmus_dataset		0/1	sushi_lover	2026-04-23		
625	1535	litmus_dataset		0/1	sushi_lover	2026-04-23		
630	35611	litmus_dataset		1/1	sushi_lover	2026-04-23		
632	35611	LitmusNormalize4	LitmusNormalizeApp	1/1	masaomi	2026-04-23		
645	1001	Metabolomics		3/3	sushi_lover	2026-05-08		
646	1001	LitmusProcessDemo	LitmusProcessApp	1/1	sushi_lover	2026-05-08		
647	1001	o40277_EXPLORIS4_20251205		74/74	sushi_lover	2026-05-11		
648	1001	LitmusProcess	LitmusProcessApp	1/1	sushi_lover	2026-05-11		
678	36327	Dataset_57556_sushi		0/9	sushi_lover	2026-05-28		
679	36327	Dataset_57556_sushi		0/9	sushi_lover	2026-05-28		
680	36327	DIANN_679	DIANNApp	0/1	sushi_lover	2026-05-28		
681	36327	DIANN_test	DIANNApp	0/1	masaomi	2026-05-28		
682	35611	o35755_Fastqc	FastqcApp	0/1	masaomi	2026-06-03		35755
684	2000	EzPyzExampleApp	EzPyzExampleApp	1/1	falkonoe	2026-06-03		
685	34486	DIANN_input		9/9	falkonoe	2026-06-15		
694	41333	input_dataset		0/2	sushi_lover	2026-06-18		41533
695	41333	NfCoreSarek_694	NfCoreSarekApp	0/1	sushi_lover	2026-06-18		41533
